Date,Rudern sitzend / Seated row,Adducktor,Shoulderpress / Schulterpress,Latzug / Lat pull down,Seated leg curl / beinbeuger,Pec fly,Tricep machine
2026-08-12,0.0,27.9,0.0,0.0,0.0,0.0,0.0
2026-08-14,39.4,0.0,21.9,34.7,0.0,6.8,0.0
2026-08-17,0.0,29.0,0.0,0.0,0.0,0.0,0.0
2026-08-18,39.4,0.0,21.9,34.7,0.0,6.8,0.0
2026-08-19,0.0,29.0,0.0,0.0,0.0,0.0,0.0
2026-08-24,0.0,29.0,0.0,0.0,0.0,0.0,0.0
2026-08-26,40.3,0.0,17.9,34.7,0.0,8.0,0.0
2026-08-27,0.0,29.5,0.0,0.0,0.0,0.0,0.0
2026-08-28,40.3,0.0,17.9,34.7,0.0,8.0,0.0
2026-08-31,0.0,29.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,39.4,0.0,17.9,34.7,0.0,8.3,0.0
2026-09-05,0.0,28.3,0.0,0.0,27.9,0.0,0.0
2026-09-07,34.6,0.0,21.9,36.5,0.0,8.3,0.0
2026-09-08,0.0,33.2,0.0,0.0,28.3,0.0,0.0
2026-09-09,39.4,0.0,21.9,44.3,0.0,8.5,0.0
2026-09-14,0.0,28.3,0.0,0.0,28.3,0.0,0.0
2026-09-15,39.4,0.0,17.2,44.3,0.0,8.5,0.0
2026-09-16,0.0,21.9,0.0,0.0,32.3,0.0,0.0
2026-09-17,39.4,0.0,21.9,44.3,0.0,8.5,40.3
2026-09-18,0.0,28.1,0.0,0.0,28.3,0.0,0.0
2026-09-22,41.9,0.0,21.5,44.8,0.0,9.3,42.6
